subject,body,sender,urls,spf,dkim,dmarc,num_attachments,attachment_types,label
"URGENT: Your PayPal account will be suspended","We detected unusual activity. Verify your password immediately or your account will be closed. Click http://192.168.1.50/paypal to confirm your identity.","security@paypa1.com","http://192.168.1.50/paypal",fail,fail,fail,0,,phishing
"Your Microsoft password expires today","Sign in and confirm your credentials now at http://microsoft-secure.xyz/login or your mailbox will be disabled.","account@microsoft-secure.xyz","http://microsoft-secure.xyz/login",fail,fail,none,0,,phishing
"Final notice: bank account locked","Unauthorized transfers detected. Act now and verify your bank account at http://bit.ly/bank-verify within 24 hours.","alerts@bankofamerica-verify.tk","http://bit.ly/bank-verify",fail,softfail,fail,0,,phishing
"Netflix: update your payment or lose access","Your membership will be terminated. Enter your credit card at http://netflix-update.top/billing immediately.","billing@netflix-update.top","http://netflix-update.top/billing",fail,fail,fail,0,,phishing
"Apple ID locked!!!","Your Apple ID has been locked. Click http://apple.com.secure-id.gq/unlock and enter your password right now.","support@apple.com.secure-id.gq","http://apple.com.secure-id.gq/unlock",fail,none,fail,0,,phishing
"Amazon invoice attached","Open the attached invoice.exe to review a pending charge. Confirm your password if prompted.","invoices@amaz0n.com","http://amaz0n-billing.click/invoice",fail,fail,fail,1,exe,phishing
"Google Docs: document shared with you","View the file at http://google.com@evil-share.xyz/doc and sign in with your username and password.","sharing@accounts-google.ml","http://google.com@evil-share.xyz/doc",fail,fail,fail,0,,phishing
"YOU HAVE WON $1,000,000!!!","CLICK HERE NOW to claim your prize. Send your login and bank account details to receive the transfer. http://prize-claim.icu/win","winner@prize-claim.icu","http://prize-claim.icu/win",none,none,none,0,,phishing
"Notes from today's standup","Here are the action items we agreed on: finish the API review, ping design about the empty state, and ship the copy tweak tomorrow.","jordan@acme.com","https://acme.com/wiki/standup",pass,pass,pass,0,,legit
"New sign-in on GitHub","A new sign-in from Chrome on macOS was recorded. If this was you, no action is needed. Review sessions at https://github.com/settings/sessions","noreply@github.com","https://github.com/settings/sessions",pass,pass,pass,0,,legit
"Weekly product newsletter","Three launches this week: usage analytics, the new export CSV, and a quieter notification default. Read more at https://news.example.com/week-32","hello@news.example.com","https://news.example.com/week-32",pass,pass,pass,0,,legit
"Calendar: design critique Thursday 3pm","Invited: you, Priya, and Sam. Location: Room 4B. Add a comment on the Figma file beforehand if you can.","calendar@acme.com","https://calendar.acme.com/event/8841",pass,pass,pass,0,,legit
"Your Amazon.com order of USB-C hub","Thanks for your order. It will arrive Thursday. Track it at https://www.amazon.com/gp/your-account/order-history","auto-confirm@amazon.com","https://www.amazon.com/gp/your-account/order-history",pass,pass,pass,0,,legit
"Security alert from Google","We noticed a new sign-in to your account. If this was you, you can ignore this message. Details: https://myaccount.google.com/notifications","no-reply@accounts.google.com","https://myaccount.google.com/notifications",pass,pass,pass,0,,legit
"Q3 budget spreadsheet","Attached is the latest budget workbook as a PDF. Please add comments before Friday's planning meeting.","finance@acme.com","",pass,pass,pass,1,pdf,legit
"Invoice 1842 from Acme Supplies","Please find invoice 1842 for April office supplies. Payment terms net 30. Contact billing@acme-supplies.com with questions.","vendor@acme-supplies.com","https://acme-supplies.com/invoices/1842",pass,pass,pass,1,pdf,legit
