subject,body,sender,reply_to,urls,spf,dkim,dmarc,num_attachments,attachment_types,phishing_type,label
Notes from today's standup,"Here are the action items we agreed on: finish the API review, ping design about the empty state, and ship the copy tweak tomorrow.",jordan@acme.com,jordan@acme.com,https://acme.com/wiki/standup,pass,pass,pass,0,,legitimate,legit
Engineering sync notes 3,Hi team — Jordan Singh captured notes from the engineering sync. Please review the ticket list and add estimates before Thursday. Doc: https://acme.com/docs/sync-3,jordan@acme.com,jordan@acme.com,https://acme.com/docs/sync-3,pass,pass,pass,0,,legitimate,legit
Design sync notes 15,Hi team — Morgan Okoye captured notes from the design sync. Please review the ticket list and add estimates before Thursday. Doc: https://northwind.dev/docs/sync-15,morgan@northwind.dev,morgan@northwind.dev,https://northwind.dev/docs/sync-15,pass,pass,pass,0,,legitimate,legit
Ops sync notes 17,Hi team — Sam Nguyen captured notes from the ops sync. Please review the ticket list and add estimates before Thursday. Doc: https://northwind.dev/docs/sync-17,sam@northwind.dev,sam@northwind.dev,https://northwind.dev/docs/sync-17,pass,pass,pass,0,,legitimate,legit
Engineering sync notes 30,Hi team — Quinn Garcia captured notes from the engineering sync. Please review the ticket list and add estimates before Thursday. Doc: https://brightline.co/docs/sync-30,quinn@brightline.co,quinn@brightline.co,https://brightline.co/docs/sync-30,pass,pass,pass,0,,legitimate,legit
Amazon invoice attached,Open the attached invoice.exe to review a pending charge. Confirm your password if prompted.,invoices@amaz0n.com,invoices@amaz0n.com,http://amaz0n-billing.click/invoice,fail,fail,fail,1,exe,malware_attachment,phishing
Weekly product newsletter,"Three launches this week: usage analytics, the new export CSV, and a quieter notification default. Read more at https://news.example.com/week-32",hello@news.example.com,hello@news.example.com,https://news.example.com/week-32,pass,pass,pass,0,,legitimate,legit
Wire needed for the children's hospital gala,We talked at the conference. I am stranded and the hotel needs payment verification. Can you send a temporary loan today? I will repay next week.,Alex Khan <traveler@mail-relay.gq>,urgent-help@proton-temp.xyz,,fail,none,none,0,,romance_advance_fee,phishing
GitHub: new SSH key added,"A new SSH key was added to your account. If this was not you, sign in at http://github-security.xyz/sessions and reset your password immediately.",GitHub <noreply@githvb.com>,GitHub <noreply@githvb.com>,http://github-security.xyz/sessions,fail,fail,fail,0,,credential_harvesting,phishing
Vendor payment 1803,Bank details changed this morning. Wire the outstanding balance using the new account in the attached spreadsheet. Do not use the old routing number.,accounts@vendor-pay3.top,wires@offbook3.gq,http://vendor-pay3.top/wire,fail,fail,fail,1,xlsm,invoice_fraud,phishing
Finance sync notes 6,Hi team — Morgan Brooks captured notes from the finance sync. Please review the ticket list and add estimates before Thursday. Doc: https://acme.com/docs/sync-6,morgan@acme.com,morgan@acme.com,https://acme.com/docs/sync-6,pass,pass,pass,0,,legitimate,legit
Receipt for order #10013,Thanks for your purchase. Your receipt is attached as a PDF. Track shipping at https://www.amazon.com/gp/your-account/order-history?order=10013,auto-confirm@amazon.com,auto-confirm@amazon.com,https://www.amazon.com/gp/your-account/order-history?order=10013,pass,pass,pass,1,pdf,legitimate,legit
Receipt for order #10004,Thanks for your purchase. Your receipt is attached as a PDF. Track shipping at https://www.amazon.com/gp/your-account/order-history?order=10004,auto-confirm@amazon.com,auto-confirm@amazon.com,https://www.amazon.com/gp/your-account/order-history?order=10004,pass,pass,pass,1,pdf,legitimate,legit
Sales sync notes 2,Hi team — Riley Garcia captured notes from the sales sync. Please review the ticket list and add estimates before Thursday. Doc: https://acme.com/docs/sync-2,riley@acme.com,riley@acme.com,https://acme.com/docs/sync-2,pass,pass,pass,0,,legitimate,legit
Vendor payment 1805,Bank details changed this morning. Wire the outstanding balance using the new account in the attached spreadsheet. Do not use the old routing number.,accounts@vendor-pay5.top,wires@offbook5.gq,http://vendor-pay5.top/wire,fail,fail,fail,1,xlsm,invoice_fraud,phishing
Vendor payment 1808,Bank details changed this morning. Wire the outstanding balance using the new account in the attached spreadsheet. Do not use the old routing number.,accounts@vendor-pay8.top,wires@offbook8.gq,http://vendor-pay8.top/wire,fail,fail,fail,1,xlsm,invoice_fraud,phishing
Vendor payment 1813,Bank details changed this morning. Wire the outstanding balance using the new account in the attached spreadsheet. Do not use the old routing number.,accounts@vendor-pay13.top,wires@offbook13.gq,http://vendor-pay13.top/wire,fail,fail,fail,1,xlsm,invoice_fraud,phishing
Amazon security alert,Unusual sign-in on your Amazon account. Order cannot be shipped. Verify your username and password at http://amaz0n-help.click/login within 24 hours.,Amazon Alerts <no-reply@amaz0n-help.click>,Amazon Alerts <no-reply@amaz0n-help.click>,http://amaz0n-help.click/login,fail,fail,fail,0,,credential_harvesting,phishing
Sales sync notes 11,Hi team — Jordan Singh captured notes from the sales sync. Please review the ticket list and add estimates before Thursday. Doc: https://acme.com/docs/sync-11,jordan@acme.com,jordan@acme.com,https://acme.com/docs/sync-11,pass,pass,pass,0,,legitimate,legit
Receipt for order #10008,Thanks for your purchase. Your receipt is attached as a PDF. Track shipping at https://www.amazon.com/gp/your-account/order-history?order=10008,auto-confirm@amazon.com,auto-confirm@amazon.com,https://www.amazon.com/gp/your-account/order-history?order=10008,pass,pass,pass,1,pdf,legitimate,legit
Netflix security alert,Unusual sign-in on your Netflix account. Stream will be interrupted. Verify your username and password at http://netflix-billing.icu/login within 24 hours.,Netflix Alerts <no-reply@netflix-billing.icu>,Netflix Alerts <no-reply@netflix-billing.icu>,http://netflix-billing.icu/login,fail,fail,fail,0,,credential_harvesting,phishing
Sales sync notes 23,Hi team — Riley Brooks captured notes from the sales sync. Please review the ticket list and add estimates before Thursday. Doc: https://brightline.co/docs/sync-23,riley@brightline.co,riley@brightline.co,https://brightline.co/docs/sync-23,pass,pass,pass,0,,legitimate,legit
Password change confirmation (4),"Your password was changed successfully. If you did not do this, visit https://myaccount.google.com/security and sign in from a trusted device.",no-reply@accounts.google.com,no-reply@accounts.google.com,https://myaccount.google.com/security,pass,pass,pass,0,,legitimate,legit
Password change confirmation (1),"Your password was changed successfully. If you did not do this, visit https://myaccount.google.com/security and sign in from a trusted device.",no-reply@accounts.google.com,no-reply@accounts.google.com,https://myaccount.google.com/security,pass,pass,pass,0,,legitimate,legit
Vendor payment 1814,Bank details changed this morning. Wire the outstanding balance using the new account in the attached spreadsheet. Do not use the old routing number.,accounts@vendor-pay14.top,wires@offbook14.gq,http://vendor-pay14.top/wire,fail,fail,fail,1,xlsm,invoice_fraud,phishing
Vendor payment 1807,Bank details changed this morning. Wire the outstanding balance using the new account in the attached spreadsheet. Do not use the old routing number.,accounts@vendor-pay7.top,wires@offbook7.gq,http://vendor-pay7.top/wire,fail,fail,fail,1,xlsm,invoice_fraud,phishing
Receipt for order #10010,Thanks for your purchase. Your receipt is attached as a PDF. Track shipping at https://www.amazon.com/gp/your-account/order-history?order=10010,auto-confirm@amazon.com,auto-confirm@amazon.com,https://www.amazon.com/gp/your-account/order-history?order=10010,pass,pass,pass,1,pdf,legitimate,legit
Password change confirmation (2),"Your password was changed successfully. If you did not do this, visit https://myaccount.google.com/security and sign in from a trusted device.",no-reply@accounts.google.com,no-reply@accounts.google.com,https://myaccount.google.com/security,pass,pass,pass,0,,legitimate,legit
Your Microsoft password expires today,Sign in and confirm your credentials now at http://microsoft-secure.xyz/login or your mailbox will be disabled.,account@microsoft-secure.xyz,account@microsoft-secure.xyz,http://microsoft-secure.xyz/login,fail,fail,none,0,,credential_harvesting,phishing
Invoice from Chase,"Please review the attached statement and confirm payment details. If the charge looks wrong, sign in at http://bit.ly/chase-bill.",billing@chase-statements.work,billing@chase-statements.work,http://bit.ly/chase-bill,softfail,fail,none,1,html,financial_scam,phishing
Engineering sync notes 16,Hi team — Casey Nguyen captured notes from the engineering sync. Please review the ticket list and add estimates before Thursday. Doc: https://harborlabs.io/docs/sync-16,casey@harborlabs.io,casey@harborlabs.io,https://harborlabs.io/docs/sync-16,pass,pass,pass,0,,legitimate,legit
Your Amazon.com order of USB-C hub,Thanks for your order. It will arrive Thursday. Track it at https://www.amazon.com/gp/your-account/order-history,auto-confirm@amazon.com,auto-confirm@amazon.com,https://www.amazon.com/gp/your-account/order-history,pass,pass,pass,0,,legitimate,legit
Sales sync notes 10,Hi team — Taylor Kim captured notes from the sales sync. Please review the ticket list and add estimates before Thursday. Doc: https://brightline.co/docs/sync-10,taylor@brightline.co,taylor@brightline.co,https://brightline.co/docs/sync-10,pass,pass,pass,0,,legitimate,legit
Mailbox quota exceeded (10),Your inbox is over quota. Click here to keep receiving mail and enter your password: http://10.4.10.20/quota/login,mailadmin@quota-fix10.xyz,mailadmin@quota-fix10.xyz,http://10.4.10.20/quota/login,fail,none,fail,0,,credential_harvesting,phishing
Chase security alert,Unusual sign-in on your Chase account. Card will be frozen. Verify your username and password at http://chase-verify.tk/login within 24 hours.,Chase Alerts <no-reply@chase-verify.tk>,Chase Alerts <no-reply@chase-verify.tk>,http://chase-verify.tk/login,fail,fail,fail,0,,credential_harvesting,phishing
Password change confirmation (5),"Your password was changed successfully. If you did not do this, visit https://myaccount.google.com/security and sign in from a trusted device.",no-reply@accounts.google.com,no-reply@accounts.google.com,https://myaccount.google.com/security,pass,pass,pass,0,,legitimate,legit
Mailbox quota exceeded (12),Your inbox is over quota. Click here to keep receiving mail and enter your password: http://10.4.12.20/quota/login,mailadmin@quota-fix12.xyz,mailadmin@quota-fix12.xyz,http://10.4.12.20/quota/login,fail,none,fail,0,,credential_harvesting,phishing
Google Docs: document shared with you,View the file at http://google.com@evil-share.xyz/doc and sign in with your username and password.,sharing@accounts-google.ml,sharing@accounts-google.ml,http://google.com@evil-share.xyz/doc,fail,fail,fail,0,,credential_harvesting,phishing
IRS notice CP14 — balance due,Your case will be referred for collection. Pay the amount due and confirm your social security and bank account at http://irs-payments.top/cp14.,notices@irs-treasury.top,notices@irs-treasury.top,http://irs-payments.top/cp14,fail,fail,fail,0,,authority_scam,phishing
Mailbox quota exceeded (1),Your inbox is over quota. Click here to keep receiving mail and enter your password: http://10.4.1.20/quota/login,mailadmin@quota-fix1.xyz,mailadmin@quota-fix1.xyz,http://10.4.1.20/quota/login,fail,none,fail,0,,credential_harvesting,phishing
Vendor payment 1804,Bank details changed this morning. Wire the outstanding balance using the new account in the attached spreadsheet. Do not use the old routing number.,accounts@vendor-pay4.top,wires@offbook4.gq,http://vendor-pay4.top/wire,fail,fail,fail,1,xlsm,invoice_fraud,phishing
Password change confirmation (3),"Your password was changed successfully. If you did not do this, visit https://myaccount.google.com/security and sign in from a trusted device.",no-reply@accounts.google.com,no-reply@accounts.google.com,https://myaccount.google.com/security,pass,pass,pass,0,,legitimate,legit
Sales sync notes 26,Hi team — Sam Garcia captured notes from the sales sync. Please review the ticket list and add estimates before Thursday. Doc: https://brightline.co/docs/sync-26,sam@brightline.co,sam@brightline.co,https://brightline.co/docs/sync-26,pass,pass,pass,0,,legitimate,legit
Mailbox quota exceeded (19),Your inbox is over quota. Click here to keep receiving mail and enter your password: http://10.4.19.20/quota/login,mailadmin@quota-fix19.xyz,mailadmin@quota-fix19.xyz,http://10.4.19.20/quota/login,fail,none,fail,0,,credential_harvesting,phishing
Mailbox quota exceeded (11),Your inbox is over quota. Click here to keep receiving mail and enter your password: http://10.4.11.20/quota/login,mailadmin@quota-fix11.xyz,mailadmin@quota-fix11.xyz,http://10.4.11.20/quota/login,fail,none,fail,0,,credential_harvesting,phishing
Design sync notes 19,Hi team — Avery Nguyen captured notes from the design sync. Please review the ticket list and add estimates before Thursday. Doc: https://acme.com/docs/sync-19,avery@acme.com,avery@acme.com,https://acme.com/docs/sync-19,pass,pass,pass,0,,legitimate,legit
Mailbox quota exceeded (9),Your inbox is over quota. Click here to keep receiving mail and enter your password: http://10.4.9.20/quota/login,mailadmin@quota-fix9.xyz,mailadmin@quota-fix9.xyz,http://10.4.9.20/quota/login,fail,none,fail,0,,credential_harvesting,phishing
Password change confirmation (7),"Your password was changed successfully. If you did not do this, visit https://myaccount.google.com/security and sign in from a trusted device.",no-reply@accounts.google.com,no-reply@accounts.google.com,https://myaccount.google.com/security,pass,pass,pass,0,,legitimate,legit
Design sync notes 14,Hi team — Riley Patel captured notes from the design sync. Please review the ticket list and add estimates before Thursday. Doc: https://brightline.co/docs/sync-14,riley@brightline.co,riley@brightline.co,https://brightline.co/docs/sync-14,pass,pass,pass,0,,legitimate,legit
Mailbox quota exceeded (17),Your inbox is over quota. Click here to keep receiving mail and enter your password: http://10.4.17.20/quota/login,mailadmin@quota-fix17.xyz,mailadmin@quota-fix17.xyz,http://10.4.17.20/quota/login,fail,none,fail,0,,credential_harvesting,phishing
Invoice from PayPal,"Please review the attached statement and confirm payment details. If the charge looks wrong, sign in at http://bit.ly/paypal-bill.",billing@paypal-statements.work,billing@paypal-statements.work,http://bit.ly/paypal-bill,softfail,fail,none,1,html,financial_scam,phishing
PayPal: you sent a payment,You sent $42.00 to Harbor Labs. View the transaction at https://www.paypal.com/activity,service@paypal.com,service@paypal.com,https://www.paypal.com/activity,pass,pass,pass,0,,legitimate,legit
Mailbox quota exceeded (7),Your inbox is over quota. Click here to keep receiving mail and enter your password: http://10.4.7.20/quota/login,mailadmin@quota-fix7.xyz,mailadmin@quota-fix7.xyz,http://10.4.7.20/quota/login,fail,none,fail,0,,credential_harvesting,phishing
Receipt for order #10011,Thanks for your purchase. Your receipt is attached as a PDF. Track shipping at https://www.amazon.com/gp/your-account/order-history?order=10011,auto-confirm@amazon.com,auto-confirm@amazon.com,https://www.amazon.com/gp/your-account/order-history?order=10011,pass,pass,pass,1,pdf,legitimate,legit
Engineering sync notes 13,Hi team — Avery Nguyen captured notes from the engineering sync. Please review the ticket list and add estimates before Thursday. Doc: https://harborlabs.io/docs/sync-13,avery@harborlabs.io,avery@harborlabs.io,https://harborlabs.io/docs/sync-13,pass,pass,pass,0,,legitimate,legit
Vendor payment 1810,Bank details changed this morning. Wire the outstanding balance using the new account in the attached spreadsheet. Do not use the old routing number.,accounts@vendor-pay10.top,wires@offbook10.gq,http://vendor-pay10.top/wire,fail,fail,fail,1,xlsm,invoice_fraud,phishing
Finance sync notes 1,Hi team — Jordan Kim captured notes from the finance sync. Please review the ticket list and add estimates before Thursday. Doc: https://harborlabs.io/docs/sync-1,jordan@harborlabs.io,jordan@harborlabs.io,https://harborlabs.io/docs/sync-1,pass,pass,pass,0,,legitimate,legit
Finance sync notes 22,Hi team — Morgan Garcia captured notes from the finance sync. Please review the ticket list and add estimates before Thursday. Doc: https://harborlabs.io/docs/sync-22,morgan@harborlabs.io,morgan@harborlabs.io,https://harborlabs.io/docs/sync-22,pass,pass,pass,0,,legitimate,legit
